Company,Product Name,Product Category,Customer ID,Product ID,Date,Quantity,Total Cost (USD),State,Month,Year
Adidas,NMD_R1,Footwear,2S88SHPP,PROD3416,2023-09-04,4,427.91,Colorado,2023-09,2023
Under Armour,UA RUSH,Equipment,21YCM9IN,PROD2915,2023-09-24,1,53.91,Colorado,2023-09,2023
Under Armour,HOVR Phantom 2,Apparel,S5Y2WRCC,PROD3702,2023-09-16,3,584.98,Missouri,2023-09,2023
Nike,Air Max 270,Apparel,5GJM4D0X,PROD7696,2023-10-28,4,358.62,New Jersey,2023-10,2023
Nike,ZoomX Vaporfly,Equipment,QAXZQZWE,PROD6916,2023-04-17,1,132.55,California,2023-04,2023
Under Armour,Project Rock,Footwear,ZZHS9KX8,PROD2199,2023-05-07,1,85.76,Rhode Island,2023-05,2023
Under Armour,Charged Assert 9,Footwear,BV6GGP3Y,PROD9095,2023-10-03,4,755.29,Connecticut,2023-10,2023
Puma,RS-X³ Puzzle,Footwear,N3XFX2PX,PROD5646,2023-11-23,4,1140.99,Texas,2023-11,2023
Adidas,NMD_R1,Apparel,7HJ1NEIT,PROD9942,2023-03-25,5,834.24,Vermont,2023-03,2023
Adidas,Superstar,Equipment,WPKD8ANN,PROD6323,2023-11-16,4,1009.51,Indiana,2023-11,2023
Adidas,Ultraboost 21,Apparel,VALD8HRD,PROD6099,2023-12-02,3,506.05,Connecticut,2023-12,2023
Nike,Pegasus 39,Equipment,BSEEBP03,PROD1716,2023-06-19,4,864.69,New Hampshire,2023-06,2023
Adidas,NMD_R1,Footwear,XOAR4NDR,PROD3756,2023-03-17,4,543.65,Texas,2023-03,2023
Adidas,Superstar,Footwear,WJCGAONG,PROD4328,2023-10-22,5,1447.77,Ohio,2023-10,2023
Nike,Pegasus 39,Apparel,6PPRTB5P,PROD7970,2023-09-02,3,572.04,South Dakota,2023-09,2023
Nike,ZoomX Vaporfly,Equipment,ETVK0ZQG,PROD3518,2023-09-25,3,792.94,Montana,2023-09,2023
Puma,Cali Star Metallic,Apparel,P9ZVYQSY,PROD2507,2023-05-17,1,150.4,Washington,2023-05,2023
Adidas,Gazelle,Apparel,N1O3BSNH,PROD1400,2023-08-19,5,1258.43,Utah,2023-08,2023
Adidas,Ultraboost 21,Equipment,SO3NX3SH,PROD2780,2023-07-25,3,231.87,Pennsylvania,2023-07,2023
Puma,Cali Star Metallic,Footwear,BD9CUHVB,PROD1011,2023-06-27,2,382.34,Connecticut,2023-06,2023
Puma,Cali Star Metallic,Apparel,7HFAD6HI,PROD7266,2023-10-10,1,246.93,Montana,2023-10,2023
Adidas,NMD_R1,Footwear,NUUKCF76,PROD9703,2023-11-04,2,581.83,New Mexico,2023-11,2023
Puma,Suede Classic,Equipment,5EC50COT,PROD4564,2023-05-14,1,121.12,Vermont,2023-05,2023
Adidas,Ultraboost 21,Apparel,FR0RERZ0,PROD2918,2023-04-08,2,318.15,Texas,2023-04,2023
Nike,Air Max 270,Equipment,E21HCZQG,PROD9241,2023-06-07,4,1132.52,Idaho,2023-06,2023
Adidas,Superstar,Accessories,3HTKKWI5,PROD9553,2023-12-18,1,149.42,Virginia,2023-12,2023
Puma,Cali Star Metallic,Apparel,ZA4JPG5D,PROD2439,2023-10-25,4,421.19,Illinois,2023-10,2023
Adidas,NMD_R1,Apparel,BFBF51QL,PROD6877,2023-03-04,1,243.33,Connecticut,2023-03,2023
Adidas,Ultraboost 21,Apparel,X03Y2Q9K,PROD6365,2023-05-24,1,96.92,New Mexico,2023-05,2023
Nike,ZoomX Vaporfly,Apparel,MO1A5IWS,PROD1865,2023-08-28,3,549.34,Tennessee,2023-08,2023
Adidas,Gazelle,Apparel,F6MME3P6,PROD3271,2023-11-10,4,235.84,Nebraska,2023-11,2023
Nike,Air Max 270,Equipment,GFGTYH17,PROD3317,2023-01-13,2,281.04,New Mexico,2023-01,2023
Under Armour,Project Rock,Accessories,JWIU9DSO,PROD5215,2023-11-15,4,961.99,Connecticut,2023-11,2023
Nike,ZoomX Vaporfly,Apparel,KPIQ7UHN,PROD2616,2023-02-22,5,1378.55,Missouri,2023-02,2023
Under Armour,UA RUSH,Apparel,0WA4ASRV,PROD3194,2023-11-14,3,725.35,Missouri,2023-11,2023
Adidas,Superstar,Equipment,RMX3CMOE,PROD2946,2023-08-07,1,101.44,Arkansas,2023-08,2023
Nike,Pegasus 39,Footwear,MPVL8WHL,PROD4774,2023-06-15,1,263.31,North Carolina,2023-06,2023
Adidas,Superstar,Equipment,WEKWJAFV,PROD1959,2023-12-10,2,582.5,New York,2023-12,2023
Nike,Pegasus 39,Apparel,GRIVKAJX,PROD8025,2023-09-28,4,965.5,West Virginia,2023-09,2023
Under Armour,HOVR Phantom 2,Footwear,J0T237BA,PROD9051,2023-05-28,2,326.5,Utah,2023-05,2023
Nike,Pegasus 39,Footwear,2RCTZRYM,PROD4763,2023-10-19,1,229.32,Maryland,2023-10,2023
Adidas,Ultraboost 21,Equipment,LM4UG9GE,PROD9491,2023-09-05,5,296.27,Connecticut,2023-09,2023
Under Armour,Charged Assert 9,Apparel,PMO99FB4,PROD8750,2023-09-23,4,794.42,Iowa,2023-09,2023
Under Armour,Charged Assert 9,Equipment,ZTVH42Q1,PROD7641,2023-05-22,1,163.18,New Hampshire,2023-05,2023
Puma,Cali Star Metallic,Footwear,0H0WTEKB,PROD6572,2023-06-12,1,180.47,New Hampshire,2023-06,2023
Adidas,NMD_R1,Accessories,3WTXPEJ0,PROD8234,2023-08-11,1,209.85,Maryland,2023-08,2023
Nike,Pegasus 39,Accessories,HKYIYPZJ,PROD8635,2023-12-09,3,837.59,Minnesota,2023-12,2023
Nike,Pegasus 39,Apparel,R0NF3RK9,PROD2961,2023-12-04,1,229.57,New Hampshire,2023-12,2023
Adidas,Gazelle,Footwear,X2OI2J18,PROD8260,2023-08-24,1,76.87,Illinois,2023-08,2023
Nike,Metcon 7,Accessories,KQMN8OWT,PROD7714,2023-06-15,4,476.74,North Carolina,2023-06,2023
Under Armour,HOVR Phantom 2,Accessories,WSFXM0UA,PROD9136,2023-07-25,5,938.95,Iowa,2023-07,2023
Puma,Suede Classic,Accessories,QS8VS1AY,PROD5415,2023-09-19,5,495.85,West Virginia,2023-09,2023
Nike,Metcon 7,Apparel,MFXW1KNN,PROD4461,2023-11-12,4,574.25,Nevada,2023-11,2023
Under Armour,HOVR Phantom 2,Apparel,1WWVSE1Z,PROD8014,2023-06-08,4,432.99,Pennsylvania,2023-06,2023
Puma,Suede Classic,Apparel,3YF83SYH,PROD5092,2023-03-27,1,260.12,New York,2023-03,2023
Puma,Ignite Flash,Accessories,I4DTPKB1,PROD9550,2023-05-16,1,190.42,Iowa,2023-05,2023
Under Armour,Charged Assert 9,Accessories,AVJD9LHJ,PROD3820,2023-07-12,2,174.74,Tennessee,2023-07,2023
Nike,Air Max 270,Apparel,DY7N9Y5P,PROD8108,2023-03-17,2,103.79,Ohio,2023-03,2023
Adidas,NMD_R1,Accessories,FG17SU8N,PROD4372,2023-04-09,4,683.89,Wisconsin,2023-04,2023
Under Armour,UA RUSH,Equipment,Z3LE9XNV,PROD4570,2023-07-22,5,1168.31,Louisiana,2023-07,2023
Under Armour,Project Rock,Equipment,CWBAZ53J,PROD1432,2023-06-10,1,150.36,Connecticut,2023-06,2023
Adidas,Gazelle,Footwear,C5YR8U5L,PROD9077,2023-04-23,1,229.4,Ohio,2023-04,2023
Adidas,Superstar,Footwear,ZGURCCSM,PROD7193,2023-06-18,3,453.37,Louisiana,2023-06,2023
Adidas,Superstar,Accessories,YNXGRRY1,PROD8466,2023-04-09,1,88.44,Rhode Island,2023-04,2023
Under Armour,HOVR Phantom 2,Equipment,Z35Z4HB3,PROD2793,2023-05-21,5,1069.76,Montana,2023-05,2023
Nike,Pegasus 39,Apparel,VQR4FF1G,PROD6658,2023-01-05,4,261.14,Maryland,2023-01,2023
Puma,RS-X³ Puzzle,Equipment,ONXSCBD1,PROD2143,2023-04-03,1,146.45,Texas,2023-04,2023
Under Armour,HOVR Phantom 2,Accessories,MQE56OEL,PROD1865,2023-03-16,1,119.39,Virginia,2023-03,2023
Puma,Ignite Flash,Accessories,Z7NR9ESJ,PROD9402,2023-09-18,4,504.56,Georgia,2023-09,2023
Puma,Suede Classic,Apparel,3WC209E1,PROD5857,2023-08-17,2,315.39,Idaho,2023-08,2023
Under Armour,HOVR Phantom 2,Footwear,AHMCRHFE,PROD7847,2023-06-01,3,301.95,California,2023-06,2023
Nike,Metcon 7,Footwear,FGXTKHA5,PROD1304,2023-08-16,2,402.55,New Mexico,2023-08,2023
Adidas,Ultraboost 21,Equipment,1RM0X3WY,PROD7420,2023-09-03,1,248.58,Kentucky,2023-09,2023
Adidas,Gazelle,Accessories,WLHK34CU,PROD6897,2023-03-18,2,477.99,New Hampshire,2023-03,2023
Puma,Suede Classic,Equipment,8KCVYK2S,PROD6220,2023-06-17,1,58.52,Nevada,2023-06,2023
Under Armour,HOVR Phantom 2,Footwear,44OAOP4I,PROD7319,2023-03-28,3,817.6,Kansas,2023-03,2023
Under Armour,UA RUSH,Apparel,9V6CPYTN,PROD5309,2023-06-19,5,456.54,West Virginia,2023-06,2023
Under Armour,HOVR Phantom 2,Apparel,XDNRLNQ1,PROD3863,2023-10-01,2,523.2,Florida,2023-10,2023
Puma,RS-X³ Puzzle,Footwear,2TKPWFWX,PROD1278,2023-10-07,1,100.53,Delaware,2023-10,2023
Nike,Pegasus 39,Apparel,N6D999L7,PROD4671,2023-05-28,3,830.01,Indiana,2023-05,2023
Nike,Metcon 7,Footwear,ARXVO6JW,PROD6042,2023-04-28,3,555.46,Pennsylvania,2023-04,2023
Under Armour,Project Rock,Apparel,1IPFTPL0,PROD4092,2023-05-15,1,154.52,South Dakota,2023-05,2023
Puma,Ignite Flash,Apparel,OX17459H,PROD8268,2023-08-11,2,541.14,North Dakota,2023-08,2023
Under Armour,Project Rock,Equipment,ZUB9F079,PROD2574,2023-01-18,3,724.94,Utah,2023-01,2023
Adidas,Gazelle,Accessories,IL9YXCMZ,PROD2157,2023-11-10,1,193.19,Idaho,2023-11,2023
Under Armour,Charged Assert 9,Apparel,3D31OYCO,PROD1951,2023-04-02,4,915.94,Utah,2023-04,2023
Puma,Suede Classic,Equipment,N683WMHH,PROD9953,2023-10-10,5,1488.08,South Dakota,2023-10,2023
Under Armour,UA RUSH,Footwear,762SA51Y,PROD9355,2023-05-11,2,185.27,Pennsylvania,2023-05,2023
Adidas,Ultraboost 21,Equipment,9WW5O2XE,PROD9547,2023-01-02,2,141.94,Maryland,2023-01,2023
Nike,Air Max 270,Equipment,J39TGDVE,PROD2676,2023-05-12,3,328.16,Vermont,2023-05,2023
Under Armour,UA RUSH,Equipment,ER7TENIR,PROD2146,2023-08-21,2,169.01,North Dakota,2023-08,2023
Under Armour,Project Rock,Equipment,DRCHFSZX,PROD2967,2023-05-14,3,767.58,Arizona,2023-05,2023
Puma,Ignite Flash,Equipment,F656XFH2,PROD1522,2023-01-11,2,577.75,Indiana,2023-01,2023
Nike,ZoomX Vaporfly,Footwear,ZSIOABMD,PROD7185,2023-07-03,1,59.94,Rhode Island,2023-07,2023
Adidas,Gazelle,Apparel,9ZR5KZZI,PROD8517,2023-08-07,5,784.43,New York,2023-08,2023
Nike,Metcon 7,Footwear,34774X28,PROD8086,2023-07-18,5,1009.99,New Mexico,2023-07,2023
Puma,Suede Classic,Apparel,E4HZS8TM,PROD6426,2023-06-21,1,285.44,Ohio,2023-06,2023
Puma,RS-X³ Puzzle,Accessories,CCWOKAFI,PROD8327,2023-02-03,5,878.71,Minnesota,2023-02,2023
Nike,Pegasus 39,Apparel,0NK2028P,PROD6350,2023-08-09,1,195.4,Delaware,2023-08,2023
Puma,RS-X³ Puzzle,Equipment,SR9IH574,PROD6117,2023-05-22,4,216.74,Wisconsin,2023-05,2023
Puma,Cali Star Metallic,Accessories,53IVWTRI,PROD8181,2023-01-27,2,477.35,Wisconsin,2023-01,2023
Nike,Pegasus 39,Accessories,1XTJNCPM,PROD4569,2023-05-03,3,297.56,Arkansas,2023-05,2023
Under Armour,Project Rock,Apparel,8CCSLY96,PROD2827,2023-12-15,3,216.25,Mississippi,2023-12,2023
Puma,Cali Star Metallic,Equipment,HIEOR3MW,PROD3736,2023-11-27,1,289.63,New York,2023-11,2023
Adidas,Superstar,Equipment,JLQCGFAK,PROD9725,2023-06-18,5,1447.73,Rhode Island,2023-06,2023
Adidas,NMD_R1,Equipment,7TK3Z2AH,PROD7175,2023-04-12,2,504.68,Mississippi,2023-04,2023
Puma,RS-X³ Puzzle,Accessories,O01TXL9X,PROD8181,2023-06-09,5,368.37,New York,2023-06,2023
Puma,Suede Classic,Accessories,SI3G4HMI,PROD1063,2023-01-05,1,138.09,North Carolina,2023-01,2023
Adidas,Ultraboost 21,Equipment,FBSU5Z2O,PROD8365,2023-10-15,1,87.51,Kansas,2023-10,2023
Nike,ZoomX Vaporfly,Footwear,6SCDYYJM,PROD2365,2023-01-17,3,812.8,Illinois,2023-01,2023
Under Armour,UA RUSH,Apparel,Z40NH3N8,PROD1214,2023-07-13,1,217.71,Louisiana,2023-07,2023
Under Armour,Project Rock,Accessories,I7ULD0ZF,PROD7539,2023-09-14,3,702.28,New York,2023-09,2023
Adidas,Ultraboost 21,Footwear,HRGN5MLE,PROD8387,2023-05-12,2,167.93,New York,2023-05,2023
Nike,Air Max 270,Accessories,O8K5PFV2,PROD7596,2023-12-07,2,456.3,Texas,2023-12,2023
Nike,Air Max 270,Accessories,XUCE0NFM,PROD2567,2023-11-27,1,101.39,Idaho,2023-11,2023
Under Armour,Project Rock,Equipment,F0GPBH69,PROD1832,2023-04-14,4,1146.69,Maine,2023-04,2023
Puma,RS-X³ Puzzle,Footwear,FGWG5WOE,PROD9286,2023-08-12,2,184.24,Maine,2023-08,2023
Nike,Pegasus 39,Accessories,FWJIIIE1,PROD8515,2023-09-16,4,542.35,Ohio,2023-09,2023
Puma,Cali Star Metallic,Footwear,321U42U5,PROD3328,2023-06-04,5,1439.92,Kentucky,2023-06,2023
Under Armour,Charged Assert 9,Footwear,BEZZI90M,PROD7661,2023-08-24,4,1161.3,Wyoming,2023-08,2023
Adidas,Ultraboost 21,Footwear,6C4RVSXO,PROD7820,2023-10-23,3,177.65,Missouri,2023-10,2023
Adidas,Superstar,Accessories,IUNBEDCU,PROD2337,2023-08-27,5,1002.94,Rhode Island,2023-08,2023
Puma,RS-X³ Puzzle,Footwear,FQA3U2TR,PROD8647,2023-01-27,1,229.86,West Virginia,2023-01,2023
Puma,Suede Classic,Equipment,KSD80GOU,PROD1874,2023-03-11,4,622.74,Washington,2023-03,2023
Adidas,Ultraboost 21,Equipment,G6XXFSUQ,PROD4777,2023-08-07,1,299.55,Vermont,2023-08,2023
Nike,ZoomX Vaporfly,Accessories,Y577JERU,PROD7389,2023-01-26,2,156.98,California,2023-01,2023
Adidas,Ultraboost 21,Equipment,2T9QRHLW,PROD2093,2023-07-13,2,440.92,Mississippi,2023-07,2023
Nike,Metcon 7,Footwear,BTLBDP5I,PROD8683,2023-06-01,4,352.64,New Mexico,2023-06,2023
Adidas,Ultraboost 21,Apparel,JAUXR5V6,PROD6969,2023-01-18,2,510.44,New Jersey,2023-01,2023
Puma,Suede Classic,Equipment,UGT6AY8O,PROD4534,2023-01-01,3,348.16,Michigan,2023-01,2023
Adidas,Ultraboost 21,Equipment,RPG16O98,PROD7151,2023-06-13,2,221.51,Montana,2023-06,2023
Adidas,Gazelle,Footwear,IL45U9IU,PROD5534,2023-07-24,4,512.51,Pennsylvania,2023-07,2023
Adidas,Gazelle,Apparel,5ZZ556WS,PROD5404,2023-01-22,2,597.32,Nebraska,2023-01,2023
Adidas,NMD_R1,Equipment,D2VVT8W0,PROD8177,2023-03-07,5,447.44,Wyoming,2023-03,2023
Adidas,Gazelle,Equipment,XLJ6DWTQ,PROD1384,2023-09-19,1,141.07,Tennessee,2023-09,2023
Puma,Cali Star Metallic,Accessories,RY88H9HK,PROD7501,2023-10-07,5,819.36,Virginia,2023-10,2023
Nike,ZoomX Vaporfly,Apparel,7KAYY1JN,PROD5429,2023-07-22,1,167.06,Louisiana,2023-07,2023
Under Armour,UA RUSH,Footwear,ZQ73NEMO,PROD1545,2023-10-11,3,186.3,Mississippi,2023-10,2023
Adidas,Ultraboost 21,Footwear,IS9K6NRW,PROD4242,2023-02-10,3,652.54,Tennessee,2023-02,2023
Adidas,Superstar,Footwear,5RAI6H8R,PROD9563,2023-12-21,4,373.82,Arkansas,2023-12,2023
Adidas,NMD_R1,Apparel,V3JSPI2K,PROD3347,2023-10-13,5,1205.67,Arkansas,2023-10,2023
Adidas,Gazelle,Footwear,UB3YX11V,PROD5735,2023-07-19,4,358.98,Vermont,2023-07,2023
Under Armour,HOVR Phantom 2,Equipment,EEP60XBW,PROD1677,2023-04-16,5,1078.15,Illinois,2023-04,2023
Nike,Metcon 7,Footwear,6AJ24X3H,PROD2854,2023-02-23,5,257.23,Arkansas,2023-02,2023
Adidas,Gazelle,Accessories,GUU2CTL8,PROD6753,2023-04-08,1,119.17,Michigan,2023-04,2023
Nike,Air Max 270,Accessories,G64DRQB4,PROD9379,2023-06-28,4,695.44,Arizona,2023-06,2023
Puma,Cali Star Metallic,Apparel,VBXXJVXB,PROD8468,2023-10-28,5,677.32,California,2023-10,2023
Adidas,Ultraboost 21,Accessories,KDYD2AQO,PROD8938,2023-07-13,3,204.98,New Hampshire,2023-07,2023
Adidas,Superstar,Accessories,59P2KD1F,PROD4599,2023-07-14,1,251.37,Oklahoma,2023-07,2023
Puma,RS-X³ Puzzle,Apparel,END5SPQI,PROD1984,2023-02-25,2,111.61,Delaware,2023-02,2023
Adidas,Superstar,Equipment,ZJLIRJCE,PROD6560,2023-08-04,1,172.16,New Jersey,2023-08,2023
Puma,Cali Star Metallic,Equipment,GRYYDFOI,PROD4621,2023-09-18,5,431.52,Rhode Island,2023-09,2023
Adidas,Superstar,Footwear,VAXHGO7T,PROD1362,2023-09-11,4,455.51,Nevada,2023-09,2023
Under Armour,HOVR Phantom 2,Accessories,FO0DLBI9,PROD1687,2023-04-05,5,1229.78,New Jersey,2023-04,2023
Nike,Pegasus 39,Equipment,97P5QFU9,PROD4341,2023-05-01,1,280.75,New Jersey,2023-05,2023
Adidas,NMD_R1,Apparel,RH5JWCM6,PROD8604,2023-05-21,2,184.82,Louisiana,2023-05,2023
Adidas,Superstar,Footwear,0KNGRM5T,PROD9083,2023-09-22,3,362.72,Oklahoma,2023-09,2023
Nike,ZoomX Vaporfly,Accessories,5MI4NR6J,PROD4706,2023-09-25,5,1282.37,Maine,2023-09,2023
Under Armour,Project Rock,Footwear,9TK6096Y,PROD4688,2023-01-21,4,960.94,California,2023-01,2023
Adidas,NMD_R1,Equipment,YW02R49C,PROD8182,2023-11-17,5,788.77,Kansas,2023-11,2023
Adidas,Superstar,Footwear,YG72WBWA,PROD6266,2023-05-28,4,336.18,Maryland,2023-05,2023
Puma,Ignite Flash,Equipment,HPVET82N,PROD2788,2023-12-21,4,374.33,Wyoming,2023-12,2023
Puma,Suede Classic,Equipment,2C8F6GKN,PROD2585,2023-01-15,2,291.54,Montana,2023-01,2023
Nike,Air Max 270,Apparel,2Q8UACNK,PROD2282,2023-03-14,3,777.37,Maine,2023-03,2023
Adidas,Ultraboost 21,Equipment,BTOKQCPD,PROD5090,2023-10-01,3,294.55,Wyoming,2023-10,2023
Nike,ZoomX Vaporfly,Accessories,9DU3IU7F,PROD7418,2023-02-13,3,625.67,Tennessee,2023-02,2023
Puma,RS-X³ Puzzle,Apparel,RTHOF6CL,PROD8321,2023-11-06,1,213.48,Nebraska,2023-11,2023
Adidas,Ultraboost 21,Equipment,8A58CKG2,PROD9626,2023-04-09,3,688.7,New York,2023-04,2023
Under Armour,Charged Assert 9,Footwear,2H7WAM5W,PROD3215,2023-09-06,2,200.19,Oregon,2023-09,2023
Adidas,Ultraboost 21,Equipment,49U7Z103,PROD6914,2023-12-15,4,385.89,Michigan,2023-12,2023
Nike,Air Max 270,Footwear,O8HH5KRO,PROD8371,2023-08-21,1,51.53,Kansas,2023-08,2023
Under Armour,HOVR Phantom 2,Footwear,JW7F2FSY,PROD8574,2023-04-09,3,356.79,Illinois,2023-04,2023
Puma,Suede Classic,Apparel,ONT200P6,PROD1289,2023-12-02,2,106.5,Texas,2023-12,2023
Under Armour,Project Rock,Apparel,2QSZUY4V,PROD2026,2023-05-03,2,554.98,Kansas,2023-05,2023
Adidas,Superstar,Footwear,MQ8NYNAE,PROD1844,2023-08-26,3,693.32,New Mexico,2023-08,2023
Adidas,NMD_R1,Apparel,DVQLKAO6,PROD3366,2023-04-27,2,229.64,Connecticut,2023-04,2023
Nike,Metcon 7,Apparel,ANVS53TF,PROD3013,2023-12-28,5,1305.26,Nevada,2023-12,2023
Puma,Suede Classic,Equipment,JDU1P7US,PROD7476,2023-07-28,1,208.27,South Carolina,2023-07,2023
Adidas,Gazelle,Equipment,ZID0BZ80,PROD2969,2023-01-28,5,791.86,Colorado,2023-01,2023
Nike,Air Max 270,Footwear,QW9EXT0A,PROD8280,2023-05-27,2,369.7,Minnesota,2023-05,2023
Adidas,NMD_R1,Apparel,00ZI2OPK,PROD1496,2023-10-21,3,680.23,Vermont,2023-10,2023
Adidas,Gazelle,Equipment,C2KACRVY,PROD9254,2023-07-12,2,506.04,New Mexico,2023-07,2023
Puma,RS-X³ Puzzle,Apparel,AV54247W,PROD2858,2023-06-13,4,466.23,Connecticut,2023-06,2023
Puma,Suede Classic,Accessories,3BBNIZ4V,PROD5289,2023-02-07,4,992.06,New Jersey,2023-02,2023
Under Armour,HOVR Phantom 2,Accessories,HMS21BRR,PROD4066,2023-12-17,3,764.5,California,2023-12,2023
Adidas,Gazelle,Footwear,GWJ9H6HL,PROD5743,2023-07-23,1,184.35,Utah,2023-07,2023
Nike,Air Max 270,Accessories,64ULP2NV,PROD6378,2023-11-08,4,404.81,Maine,2023-11,2023
Nike,Air Max 270,Equipment,F2RJSN43,PROD1014,2023-02-10,3,645.29,Minnesota,2023-02,2023
Puma,Cali Star Metallic,Apparel,6UW18L6O,PROD8594,2023-11-26,3,683.1,Idaho,2023-11,2023
Adidas,Ultraboost 21,Accessories,QXPRT2B9,PROD2568,2023-08-06,3,375.48,Texas,2023-08,2023
Puma,Ignite Flash,Footwear,VDW9CSME,PROD2497,2023-06-20,2,493.14,New Hampshire,2023-06,2023
Nike,Metcon 7,Footwear,C75Q4NDN,PROD3427,2023-06-09,5,1156.27,Louisiana,2023-06,2023
Adidas,NMD_R1,Accessories,EG402N9B,PROD1507,2023-08-11,5,1136.63,Oregon,2023-08,2023
Adidas,NMD_R1,Accessories,MX4WEOSF,PROD1253,2023-10-01,3,239.33,Idaho,2023-10,2023
Nike,ZoomX Vaporfly,Accessories,56M1RNXT,PROD2633,2023-07-21,5,654.44,Wyoming,2023-07,2023
Puma,Ignite Flash,Equipment,CK6V3AW4,PROD1079,2023-01-23,3,745.98,Arkansas,2023-01,2023
Under Armour,UA RUSH,Accessories,EINP399L,PROD4538,2023-05-13,2,460.4,North Carolina,2023-05,2023
Puma,Ignite Flash,Apparel,9BZYMJAA,PROD7779,2023-01-09,2,541.4,Virginia,2023-01,2023
Nike,Pegasus 39,Accessories,OCOS1UJS,PROD1395,2023-01-08,3,746.65,Massachusetts,2023-01,2023
Nike,Air Max 270,Equipment,965LE86B,PROD6823,2023-12-08,2,402.74,Washington,2023-12,2023
Puma,Suede Classic,Footwear,1L5FE533,PROD8851,2023-10-27,5,1301.38,Connecticut,2023-10,2023
Puma,Suede Classic,Apparel,OODVOZ6P,PROD6977,2023-08-12,3,240.81,Colorado,2023-08,2023
Under Armour,Charged Assert 9,Footwear,PYO60RPB,PROD7564,2023-02-15,2,206.3,Delaware,2023-02,2023
Under Armour,HOVR Phantom 2,Footwear,JJZFEWP3,PROD1147,2023-03-09,4,200.19,Oregon,2023-03,2023
Adidas,Gazelle,Footwear,V5Q41AJO,PROD2073,2023-03-28,3,292.73,West Virginia,2023-03,2023
Under Armour,HOVR Phantom 2,Equipment,NPHX6X4N,PROD5810,2023-03-19,2,440.51,Vermont,2023-03,2023
Adidas,Ultraboost 21,Apparel,BHUSH92N,PROD7672,2023-03-27,4,1058.26,Wisconsin,2023-03,2023
Under Armour,Charged Assert 9,Equipment,EFKPP343,PROD9888,2023-04-11,2,327.75,Maine,2023-04,2023
Adidas,Ultraboost 21,Equipment,4278FOA2,PROD2661,2023-02-15,2,411.41,Colorado,2023-02,2023
Puma,Cali Star Metallic,Accessories,PUJW8N7U,PROD8124,2023-03-20,5,1489.16,Utah,2023-03,2023
Nike,ZoomX Vaporfly,Accessories,1NO0WXN9,PROD4645,2023-07-10,5,349.34,Mississippi,2023-07,2023
Puma,Ignite Flash,Accessories,29KSBHY9,PROD7849,2023-10-07,5,1177.98,Oregon,2023-10,2023
Adidas,Gazelle,Footwear,46YG4DQD,PROD8978,2023-05-02,5,292.42,Nevada,2023-05,2023
Nike,Pegasus 39,Accessories,WMFNGT45,PROD8394,2023-08-21,2,105.8,Utah,2023-08,2023
Nike,Metcon 7,Apparel,VVCQJR5Z,PROD7558,2023-11-08,1,225.01,Utah,2023-11,2023
Puma,RS-X³ Puzzle,Equipment,JN7VXTJE,PROD3773,2023-06-04,3,801.69,South Dakota,2023-06,2023
Under Armour,Project Rock,Accessories,BFHEEFMJ,PROD1354,2023-01-04,1,123.62,Ohio,2023-01,2023
Under Armour,Charged Assert 9,Accessories,G18MW8WD,PROD9756,2023-05-12,3,178.21,Rhode Island,2023-05,2023
Under Armour,UA RUSH,Accessories,JVNWWZU5,PROD4792,2023-01-24,2,399.32,Michigan,2023-01,2023
Nike,Pegasus 39,Equipment,BLMZFFLI,PROD8446,2023-02-18,2,374.0,Mississippi,2023-02,2023
Nike,Metcon 7,Accessories,UY8CVUBD,PROD9102,2023-02-28,2,180.39,Washington,2023-02,2023
Under Armour,Charged Assert 9,Apparel,07LYRXLL,PROD9638,2023-04-09,3,548.58,Oregon,2023-04,2023
Puma,Cali Star Metallic,Equipment,2P4K4GUD,PROD6508,2023-07-23,5,1324.27,Virginia,2023-07,2023
Adidas,Ultraboost 21,Accessories,OUTDEYMU,PROD8299,2023-09-06,2,228.32,Arkansas,2023-09,2023
Adidas,NMD_R1,Footwear,4WQ2O54Q,PROD4601,2023-11-13,2,202.27,Iowa,2023-11,2023
Adidas,Ultraboost 21,Footwear,GZAS0Z1N,PROD7507,2023-06-03,3,370.96,Ohio,2023-06,2023
Puma,Suede Classic,Footwear,TOUJ1FAV,PROD3838,2023-03-19,3,335.76,South Carolina,2023-03,2023
Puma,RS-X³ Puzzle,Equipment,X1GCXUKV,PROD9933,2023-08-08,5,1266.6,Missouri,2023-08,2023
Under Armour,Charged Assert 9,Accessories,6X523GM4,PROD7776,2023-06-23,5,491.9,California,2023-06,2023
Under Armour,HOVR Phantom 2,Accessories,M3PQGSRF,PROD4067,2023-01-03,1,273.28,Vermont,2023-01,2023
Adidas,NMD_R1,Footwear,VOBLIAME,PROD3724,2023-06-28,4,428.49,Georgia,2023-06,2023
Nike,Pegasus 39,Apparel,7HIZ5NTT,PROD7703,2023-05-10,2,423.01,Connecticut,2023-05,2023
Nike,Pegasus 39,Equipment,FL5EJFCC,PROD6172,2023-11-20,4,771.34,Iowa,2023-11,2023
Under Armour,Charged Assert 9,Apparel,1A674YLM,PROD7756,2023-04-19,2,254.91,Pennsylvania,2023-04,2023
Nike,Pegasus 39,Footwear,8Z98JUY5,PROD9300,2023-07-27,5,1036.02,Kansas,2023-07,2023
Nike,ZoomX Vaporfly,Footwear,9R3299ZC,PROD5679,2023-11-08,1,215.45,Idaho,2023-11,2023
